パビリオン名称,status
EARTH MART,該当あり（1 件）: ['シグネチャーパビリオン\u3000小山薫堂\u3000「EARTH MART」']
小山 薫堂,該当なし: 検索条件を変えて検索してください。
Dialogue Theater,"該当あり（2 件）: ['シグネチャーパビリオン\u3000河瀨直美「Dialogue Theater - いのちのあかし -」', 'シグネチャーパビリオン\u3000河瀨直美「Dialogue Theater - いのちのあかし -」車いす席']"
いのちのあかし,"該当あり（2 件）: ['シグネチャーパビリオン\u3000河瀨直美「Dialogue Theater - いのちのあかし -」', 'シグネチャーパビリオン\u3000河瀨直美「Dialogue Theater - いのちのあかし -」車いす席']"
河瀬 直美,該当なし: 検索条件を変えて検索してください。
テーマウィークスタジオ,"該当あり（3 件）: ['100億人のための\u200b健康で持続的な食提供 アジェンダ2025 主催プログラム', '食文化の継承・発展 アジェンダ2025 主催プログラム', '「エシカルリビング」の促進 アジェンダ2025 主催プログラム']"
TECH WORLD,該当あり（1 件）: ['TECH WORLD館']
ガスパビリオン,"該当あり（3 件）: ['ガスパビリオン・おばけワンダーランド/XRゴーグル(利用制限あり)', 'ガスパビリオン・おばけワンダーランド/XRゴーグル(車いす・補助犬同伴)', 'ガスパビリオン・おばけワンダーランド/スマートデバイス']"
おばけワンダーランド,"該当あり（3 件）: ['ガスパビリオン・おばけワンダーランド/XRゴーグル(利用制限あり)', 'ガスパビリオン・おばけワンダーランド/XRゴーグル(車いす・補助犬同伴)', 'ガスパビリオン・おばけワンダーランド/スマートデバイス']"
飯田グループ×大阪公立大学,"該当あり（2 件）: ['飯田グループ×大阪公立大学共同出展館', '飯田グループ×大阪公立大学共同出展館\u3000車いす対応']"
共同出展館,"該当あり（2 件）: ['飯田グループ×大阪公立大学共同出展館', '飯田グループ×大阪公立大学共同出展館\u3000車いす対応']"
ORA外食パビリオン,該当なし: 検索条件を変えて検索してください。
宴~UTAGE~,該当なし: 検索条件を変えて検索してください。
BLUE OCEAN DOME,該当なし: 検索条件を変えて検索してください。
GUNDAM NEXT FUTURE,該当あり（1 件）: ['GUNDAM NEXT FUTURE PAVILION']
PASONA NATUREVERSE,"該当あり（2 件）: ['PASONA NATUREVERSE', 'PASONA NATUREVERSE\u3000車いす対応']"
よしもと,該当あり（1 件）: ['よしもとwaraii myraii館（球体内鑑賞）']
関西パビリオン,"該当あり（3 件）: ['関西パビリオン', '関西パビリオン（飲食付（有料）／ハイチェア）', '関西パビリオン（飲食付（有料）／ローチェア（車いす対応可））']"
大阪ヘルスケアパビリオン,"該当あり（4 件）: ['大阪ヘルスケアパビリオン（本館）\u3000リボーン体験', '大阪ヘルスケアパビリオン（本館）\u3000リボーン体験＋人生ゲームREBORN in 2050', '大阪ヘルスケアパビリオン(XD HALL)モンスターハンター ブリッジ*車いす使用者は下記専用回にご予約下さい', '【車いす使用者向け】大阪ヘルスケアパビリオン(ＸＤ HALL)モンスターハンター ブリッジ']"
Nest for Reborn,該当なし: 検索条件を変えて検索してください。
NTT Pavilion,該当あり（1 件）: ['NTT Pavilion※予約時間の15分前集合']
三菱未来館,"該当あり（2 件）: ['三菱未来館 JOURNEY TO LIFE', '三菱未来館 JOURNEY TO LIFE \u3000車いす対応']"
パナソニックグループパビリオン,該当なし: 検索条件を変えて検索してください。
ノモの国,該当あり（1 件）: ['パナソニック館 「ノモの国」']
住友館,"該当あり（3 件）: ['住友館', '住友館\u3000車いす対応\u3000\u3000【車いすをご利用の方限定】', '住友館\u3000植林体験イベント']"
電力館,"該当あり（2 件）: ['電力館\u3000\u3000※予約時間の１０分前集合', '電力館（車いす対応）\u3000※予約時間の１０分前集合']"
ウーマンズ パビリオン,該当あり（1 件）: ['ウーマンズ パビリオン in collaboration with Cartier']
日本館,"該当あり（3 件）: ['日本館\u30003エリア観覧', '日本館\u3000バイオガスプラント見学ツアー\u3000館内観覧付き', '日本館\u3000バイオガスプラント見学ツアー\u3000館内観覧付き（車いす）']"
フューチャーライフヴィレッジ,該当なし: 検索条件を変えて検索してください。
TEAM EXPOパビリオン,該当なし: 検索条件を変えて検索してください。
未来の都市,"該当あり（2 件）: ['「未来の都市」 参加型シアター入場付き', '「未来の都市」 参加型シアター入場なし']"
モビリティエクスペリエンス,該当なし: 検索条件を変えて検索してください。
ジュニアSDGsキャンプ,該当あり（1 件）: ['【ジュニアSDGsキャンプ】途上国と生中継！JICA国際協力出前講座']
カーボンリサイクルファクトリー,該当なし: 検索条件を変えて検索してください。
